브랜드명_제품명,나이아신(비타민B3),비오틴,비타민B12,비타민B2,비타민B6,엽산,이노시톨,콜린,티아민질산염(B1),판토텐산(B5),영양함량,유비퀴논(코엔자임Q10),피페린(바이오페린),PQQ(피롤로퀴놀린퀴논),오메가3(EPA+DHA),L-아르기닌,테아닌,MSM,엠에스엠(옵티MSM),밀크씨슬(실리빈),아티초크추출물,커큐민(메리바),마그네슘,아연,비타민E,밀크씨슬(실리마린),비타민B1,리스펙타 프로바이오틱스,셀레늄(셀렌),콜라겐,히알루론산,비타민C,NAG(N-아세틸글루코사민),비타민D,나트륨,콘드로이친 황산나트륨,탄수화물,녹차추출물(카테킨),비타민A,알로에전잎(무수바바로인),가르시니아캄보지아(HCA),글루코사민염산염,루테인,UREX 프로바이오틱스,쏘팔메토(로르산),옥타코사놀,해조칼슘,루테인지아잔틴,ATPro™,효소,바실러스 서브틸리스,질건강 프로바이오틱스,비타민D3,프리바이오틱스,망간,몰리브덴,비타민K,요오드,프로바이오틱스(유산균),철,감마리놀렌산(GLA),단백질,지방,차전자피식이섬유,민들레추출물,피쉬콜라겐펩타이드,저분자콜라겐펩타이드NS,피리독신염산염(B6),대두레시틴,폴리코사놀,루테인(루테맥스),지아잔틴,만노스,크랜베리,락토페린,매스틱검,구리,비타민B3(나이아신아마이드),비타민E(디알파토코페릴숙시네이트),성분혼합물,시아노코발라민(B12),칼슘,맥주효모,크롬,L-시스틴,PABA(파라아미노벤조산),약용효모,케라틴,커큐민,티아민염산염(B1),레티놀팔미테이트(비타민A),리보플라빈포스페이트(B2),메코발라민(B12),베타카로틴(비타민A),보론,피리독살포스페이트(B6),L-메티오닌,UDCA,오로트산,콜린타르타르산염,타우린,판토텐산칼슘,보라지오일,L-시스테인,히드록소코발라민(B12),감마오리자놀,벤포티아민(B1),비타민E(디엘알파토코페릴아세테이트),비타민C(퀄리?-C),만난올리고당(MOS),사카로미세스 보울라디,진저,커큐민(C3컴플렉스),피페린,모나콜린K(홍국),코엔자임Q10,기타오메가3,저분자콜라겐펩타이드(285달톤),프락토올리고당,콜레스테롤,엽산(쿼트라폴릭),당류,라이코펜,바이오플라보노이드,홍삼(진세노사이드Rg1+Rb1+Rg3),은행잎추출물(터펜락톤),은행잎추출물(플라보놀배당체),파파야추출물,MMSC(메틸메티오닌설포늄염화물),건위제,제산제,알긴산나트륨,칼륨,식이섬유,크레아틴 모노하이드레이트,키토올리고당,셀레늄,마리골드꽃추출물,아피제닌,알파리포산,퀘르세틴,피쉬오일,엘라스틴,피쉬콜라겐,비타민B3(나이아신),포화지방,페리친(철),포도씨추출물,프로폴리스(플라보노이드),프로폴리스,판토텐산(비타민B5),홍경천추출물(로사빈),유비데카레논(코엔자임Q10),비타민K2,실리카,시안코발라민(B12),비타민K1,푸르설티아민(B1),하드록소코발라민(B12),아스타잔틴,메틸엽산,비타민3(나이아신아마이드),레티놀아세테이트(비타민A),셀레노메티오닌,베타알라닌,L-카르니틴타르트레이트,셀러리,바나듐,강황추출물,크립토잔틴,BCAA,비타민(B2),펜토텐산(B5),크롬아미노산킬레이트,콜레우스포스콜리,가르시니아캄보지아추출물,폴레이트(엽산),인,염소(클로라이드),비타민E(디알파토코페릴아세테이트),비타민D2,비타민E(디알파코페릴숙시네이트),비타민B3(나이아신마이드),루틴,태아닌,쏘팔메토,니켈,주석,DHA(오메가3),비타민E(디알파토코페롤),식물스테롤,라인코펜,루테인(플로라지엘오),프로바이오틱스혼합물,과일채소혼합물,식물혼합물,베타인연산염,은행잎추출물,아미노산,DMG(다이메틸글라이신),헤스페리딘,L-타이로신,가시오갈피(엘루테로),효소혼합물,버섯혼합물,오메가369,핀토텐산(B5),비타민E(디알팤페릴아세테이트),L-카르니틴,몰리브덴아미노산킬레이트,글루코사민,보스웰리아,글루코사민황산염,DL-카르니틴염산염,카페인,비타민(나이아신),트랜스지방,타아민질산염(B1),인삼추출물,L-아스파르트산,L-오르니틴,L-시스룰린,피크노제놀(프랑스해안송껍질추출물),아세로라추출물,비타민C(퀄리-C),로즈힙,폴리감마글루탐산,인삼엑스,낙산균,판크레아틴,브로멜라인,양배추추출물,귀리식이섬유,스페인감초추출물,프로파이오틱스(유산균),몰디브덴,유단백가수분해물(알파에스1카제인),비타민E(디엘알파토코페릴숙시네이트),잔티젠,리보플라빈부티레이트(B2),유비데카레논(코엔자임Q),올리브잎추출물,리그난,암라(인디안구스베리),대두이소플라보,드시모네 프로바이오틱스,난소화성말토덱스트린(식이섬유),과채유래유사균,공액리놀레산,시서스추출물,과채유래유산균,L.rhamnosus 열처리배양건조물,스피루리나(엽록소),글루코실세라마이드,글루타치온,나이아신(비타민3),로얄젤리,다시마추출물(켈프),쐐기풀추출물,바나바잎추출물(코로솔산),바이칼린,빌베리추출물,NR(니코틴아미드 리보사이드),트랜스레스베라트롤,아스타잔틴(아스타리프),아스타잔틴(아스타퓨어),빌베리추출물(안토시아노사이드),알파카로틴,사프란추출물,블랙커런트(안토시아닌),셀렌산나트륨,총오메가3,식물추출물,크롬피콜리네이트(피콜린산크롬),아세틸L-카르니틴,베타인염산염,글루탐산염산염,베타글루칸,DMAE),헤스페라딘,홍경청추출물(로사빈),케일
유한양행_마그비연질캡슐,,,,,,,,,100mg,,,,,,,,,,,,,,330mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21세기센트리_마그네슘 250mg,,,,,,,,,,,,,,,,,,,,,,,250mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지엔엠_마그네슘05,,,,1.4mg,1.5mg,,,,,,,,,,,,,,,,,,315mg,,,,1.2mg,,55µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대웅제약_마그온,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10mg,,1000mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종근당_젠빅플러스,,,,10mg,,,,,100mg,,,,,,,,,,,,,,300mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10mg,,1000mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
블루보넷뉴트리션_킬레이트 마그네슘,,,,,,,,,,,,,,,,,,,,,,,200mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네이처스웨이_얼라이브 칼슘 마그네슘 비타민D (국내),,,,,,,,,,,,,,,,,,,,,,,350mg,,,,,,,,,,,10µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나우푸드_마그네슘 시트레이트 (베지캡슐),,,,,,,,,,,,,,,,,,,,,,,400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캘리포니아골드뉴트리션_마그네슘 킬레이트,,,,,,,,,,,,,,,,,,,,,,,210mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
닥터아돌_칼슘마그네슘비타민D+,,,,,,,,,,,,,,,,,,,,,,,100.8mg,,,,,,,,,,,10µg,,,,,,,,,,,,,,,,,,,,,3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,700mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
닥터아돌_이지먼스,,,,,,,,,,,,,,,,,200mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔가_칼슘 마그네슘,,,,,,,,,,,,,,,,,,,,,,,400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나우푸드_마그네슘 캡슐 400mg,,,,,,,,,,,,,,,,,,,,,,,400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔가_칼슘 마그네슘 비타민D3,,,,,,,,,,,,,,,,,,,,,,,500mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔가_칼슘 마그네슘 플러스 징크,,,,,,,,,,,,,,,,,,,,,,,400mg,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
블루보넷뉴트리션_칼슘 시트레이트 마그네슘 비타민D3,,,,,,,,,,,,,,,,,,,,,,,400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유사나_마그네칼D,,,,,,,,,,,,,,,,,,,,,,,250mg,,,,,,,,,,,10µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라이프익스텐션_마그네슘 500mg,,,,,,,,,,,,,,,,,,,,,,,500mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
썬다운내추럴_칼슘 마그네슘 징크,,,,,,,,,,,,,,,,,,,,,,,400mg,25mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
헤어메스_바이오렉트라 마그네슘 400mg 울트라 다이렉트,,,,,,,,,,,,,,,,,,,,,,,400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나우푸드_마그네슘 말레이트 1000mg,,,,,,,,,,,,,,,,,,,,,,,345mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네추럴라이즈_파워 마그네슘,,,,,,,,,,,,,,,,,,,,,,,400mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유한양행_마그비 액티브정,,,,100mg,,,,,,,,,,,,,,,,,,,360mg,,200mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100mg,,,,,,,,,,,,,1000µg,,,,,,,,,,,,,,,,,,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프롬바이오_수면건강엔 락티움 플러스,,,,,0.45mg,,,,,1.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다케다_액티넘 이엑스플러스,,,,,,,,,,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66mg,,,,,,,,,,,,,1000µg,,,,,,,,,,,,,,,,,,,,,,,,,6.66mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유한양행_마그비감마,,,,,,,,,100mg,,,,,,,,,,,,,,300mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한미약품_비엘비,,100µg,,100mg,,100µg,30mg,10mg,,50mg,,,,,,,,,,,,,18mg,24mg,,,,,12.5µg,,,50mg,,,,,,,,,,,,,,,,,,,,,25µg,,,,,,,,,,,,,,,100mg,,,,,,,,,,10mgNE,,,100µg,,,,,,,,,,,,,,,,,10mg,,,,,,,,5mg,110mg,20mga-TE,,,,,,,,5.25mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동화약품_비라밸,,200µg,,50mg,,400µg,50mg,50mg,,30mg,,,,,,,,,,,,,60mg,16.96mg,,,,,22.1µg,,,101.05mg,,,,,,,,,,,,,,,,,,,,,10µg,,,,,,,,,,,,,,,50mg,,,,,,,,,,50mgNE,,,50µg,29.5mg,,,,,,,,,,,,,,,50mg,,,,,,,,,5mg,50mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보령제약_쎈비백 정,,0.1mg,100µg,100mg,,0.1mg,30mg,30mg,,100mg,,,,,,,,,,,,,30mg,16mg,10mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,25µg,,,,,,,,,,,,,,,100mg,,,,,,,,,,100mgNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,5mg,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안국건강_잔티움 나이트버닝,,,,1.4mg,,,,,,,,,,,,,,,,,,,94.5mg,8.5mg,,,1.2mg,,55µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25µg,6.3mg,,600mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부광약품_메가바이정,,100µg,100µg,100mg,,100µg,100mg,100mg,,,,,,,,,,,,,,,,14.94mg,10mga-TE,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,12.5µg,,,,,,,,,,,,,,,100mg,,,,,,,,,,100mgNE,,,,,,,,,,,,,,,,,,,,5mg,,,,100mg,,,,10mg,50mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유한메디카_트루액티비5정,,100µg,150µg,,,100µg,100mg,100mg,,,,,,,,,,,,,,,,16mg,,,100mg,,,,,100mg,,,,,,,,,,,,,,,,,,,,,25µg,,,,,,,,,,,,,,,,,,,,,,,,,100mgNE,,,,,,,,,,,,,,,,,,5mg,,10mg,,,,50mg,,,,5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12mg,5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라이프익스텐션_슈퍼 오메가3 이지 소프트젤,,,,,,,,,,,,,,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600mg,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파마젠_알티지 오메가3,,,,,,,,,,,,,,,1.2g,,,,,,,,,,11mga-TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홀리데이즈_오메가3 1100,,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,,,,,,,,25µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
